Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance
150.803,20,150,800000000,map,3.886005764414179,3.8839148597655133,0.0,0.0,0.0,-0.05952319521112476,0.9982269227143988,"(0.006094870204046643, -0.0016178394800459017, 0.0, 0.0, 0.0, 0.0, -0.0016178394800459017, 0.005233125456319598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028249917582822315)"
153.602,21,153,600000000,map,4.304802669679548,3.8859930048979523,0.0,0.0,0.0,0.021753063885419643,0.9997633741098925,"(0.00555373335881626, -0.001975516650546183, 0.0, 0.0, 0.0, 0.0, -0.001975516650546183, 0.006894298553088873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025504596279165405)"
156.402,22,156,400000000,map,4.733544324288673,3.9010112751782855,0.0,0.0,0.0,0.023161666411762594,0.9997317326208217,"(0.004426243820219611, -0.002459074515119397, 0.0, 0.0, 0.0, 0.0, -0.002459074515119397, 0.008371810204847563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024038366314406787)"
159.201,23,159,200000000,map,5.157464977656751,3.9070576572724915,0.0,0.0,0.0,0.021741695335803342,0.9997636214045423,"(0.00323785445995739, -0.0018278189127372002, 0.0, 0.0, 0.0, 0.0, -0.0018278189127372002, 0.007639059566752593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001796703935023127)"
162.002,24,162,0,map,5.575956829929963,3.937307476811205,0.0,0.0,0.0,0.02564923951895806,0.9996710041369106,"(0.002841952694566885, -0.0012740766052274921, 0.0, 0.0, 0.0, 0.0, -0.0012740766052274921, 0.007796847357569803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001719677908504972)"
164.802,25,164,800000000,map,5.995241548166846,3.9646525970252156,0.0,0.0,0.0,0.028789684190549274,0.999585491133304,"(0.0023082938372738226, -0.000809325671287553, 0.0, 0.0, 0.0, 0.0, -0.0008093256712911057, 0.007458206249324917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0016266018047886935)"
169.602,26,169,600000000,map,6.347999529370931,3.969091904063765,0.0,0.0,0.0,-0.3027208699195656,0.9530792595136783,"(0.005323782989421488, -0.00080240836270562, 0.0, 0.0, 0.0, 0.0, -0.00080240836270562, 0.008226378493308317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005435789850544138)"
171.203,27,171,200000000,map,6.368458479816119,3.9623898072697905,0.0,0.0,0.0,-0.7579390320836326,0.6523253970558913,"(0.0065563633177703196, -0.0024920214338379765, 0.0, 0.0, 0.0, 0.0, -0.0024920214338379765, 0.009757544635252913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009581404259210356)"
173.804,28,173,800000000,map,6.37204776128074,3.9571591599525777,0.0,0.0,0.0,-0.9874292259428548,0.15806177195607646,"(0.006644727380155757, 5.400269608912822e-05, 0.0, 0.0, 0.0, 0.0, 5.400269608912822e-05, 0.012324040294442895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012163478053588169)"
176.606,29,176,600000000,map,6.368612777132107,3.962597111665032,0.0,0.0,0.0,0.921386811193386,0.38864681158975667,"(0.01058660107011633, -0.00021184873801516346, 0.0, 0.0, 0.0, 0.0, -0.00021184873801516346, 0.009050598869785986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015423778704307221)"
